Kommun,Badplats,Provtid,Kvalitet,Siktdjup,Vattentemp,Lat,Long,ID
Askersund,Östersjön,2014-06-24,  Tjänligt,,  18,6,0,0,234
Askersund,Östersjön,2014-07-30,  Tjänligt,,  25,1,0,0,235
Alvesta,Övden,2014-06-10,  Tjänligt,  0,55,  21,9,0,0,236
Alvesta,Övden,2014-07-01,  Tjänligt,,  18,8,0,0,237
Alvesta,Övden,2014-07-22,  Tjänligt,,  24,0,0,238
Bengtsfors,,2014-06-17,  Tjänligt,,  18,2,0,0,239
Bengtsfors,,2014-07-15,  Tjänligt,,  20,3,0,0,240
Bengtsfors,,2014-08-05,  Tjänligt,,  21,5,0,0,241
Botkyrka,Albysjön, Fittja Ängsbadet,2014-06-17,  Tjänligt m. Anm.,,  16,7,0,0,242
Botkyrka,Albysjön, Fittja Ängsbadet,2014-07-08,  Tjänligt,,  22,0,0,243
Botkyrka,Albysjön, Fittja Ängsbadet,2014-07-22,  Tjänligt,  0,75,  22,0,0,244
Botkyrka,Albysjön, Fittja Ängsbadet,2014-08-05,  Otjänligt,,  24,4,0,0,245
Botkyrka,Albysjön, Fittja Ängsbadet,2014-08-12,  Tjänligt,,  23,2,0,0,246
Boden,Aldersjön,2014-07-07,  Tjänligt,  > 1,  20,0,0,247
Boden,Aldersjön,2014-07-21,  Tjänligt,,  23,0,0,248
Boden,Aldersjön,2014-08-04,  Tjänligt,,  22,0,0,249
Borås,Almenäs badplats, Öresjö,2014-06-13,  Tjänligt,,  18,4,0,0,250
Borås,Almenäs badplats, Öresjö,2014-06-23,  Tjänligt,,  18,3,0,0,251
Borås,Almenäs badplats, Öresjö,2014-07-09,  Tjänligt m. Anm.,,  21,9,0,0,252
Borås,Almenäs badplats, Öresjö,2014-07-16,  Tjänligt,,  19,0,0,253
Borås,Almenäs badplats, Öresjö,2014-07-21,  Tjänligt,,  21,8,0,0,254
Borås,Almenäs badplats, Öresjö,2014-08-06,  Tjänligt m. Anm.,,  22,1,0,0,255
Borås,Almenäs badplats, Öresjö,2014-08-22,  Tjänligt,,  16,0,0,256
Bjurholm,Angsjöns camping,2014-07-17,  Tjänligt,  > 1,  23,0,0,257
Bjurholm,Angsjöns camping,2014-08-06,  Tjänligt,  < 1,  22,1,0,0,258
Borås,Asklanda badplats, Öresjö,2014-06-13,  Tjänligt,,  19,4,0,0,259
Borås,Asklanda badplats, Öresjö,2014-06-23,  Tjänligt,,  18,0,0,260
Borås,Asklanda badplats, Öresjö,2014-07-07,  Tjänligt,,  21,7,0,0,261
Borås,Asklanda badplats, Öresjö,2014-07-21,  Tjänligt,,  22,4,0,0,262
Borås,Asklanda badplats, Öresjö,2014-08-07,  Tjänligt,,  21,8,0,0,263
Bollebygd,Ballasjön,2014-06-16,  Tjänligt,  > 1,4,  20,0,0,264
Bollebygd,Ballasjön,2014-06-30,  Tjänligt,  > 1,4,  17,0,0,265
Bollebygd,Ballasjön,2014-07-14,  Tjänligt,  > 1,4,  21,0,0,266
Bollebygd,Ballasjön,2014-08-04,  Tjänligt,  > 1,2,  22,5,0,0,267
Borlänge,Bergkvarnsdammen,2014-07-09,  Tjänligt,,  21,0,0,268
Berg,Billstadammen, Hackås,2014-07-02,  Tjänligt,,  16,0,0,269
Berg,Billstadammen, Hackås,2014-07-24,  Tjänligt,,  24,0,0,270
Berg,Billstadammen, Hackås,2014-08-04,  Tjänligt,,  22,0,0,271
Bollnäs,Björktjäratjärn,2014-06-16,  Tjänligt m. Anm.,,  18,0,0,272
Bollnäs,Björktjäratjärn,2014-07-01,  Otjänligt,,  15,4,0,0,273
Bollnäs,Björktjäratjärn,2014-07-07,  Tjänligt,,  20,0,0,274
Bollnäs,Björktjäratjärn,2014-07-15,  Otjänligt,,  21,8,0,0,275
Bollnäs,Björktjäratjärn,2014-07-21,  Tjänligt,,  23,0,0,276
Bollnäs,Björktjäratjärn,2014-08-11,  Tjänligt,,  22,4,0,0,277
Borås,Bogrydssjöns badplats, Svaneholm,2014-06-13,  Tjänligt,,  18,0,0,278
Borås,Bogrydssjöns badplats, Svaneholm,2014-06-23,  Tjänligt,,  17,7,0,0,279
Borås,Bogrydssjöns badplats, Svaneholm,2014-07-07,  Tjänligt,,  22,1,0,0,280
Borås,Bogrydssjöns badplats, Svaneholm,2014-07-21,  Tjänligt,,  23,7,0,0,281
Borås,Bogrydssjöns badplats, Svaneholm,2014-08-06,  Tjänligt,,  21,8,0,0,282
Borgholm,Borgholm, Kallbadhuset,2014-06-17,  Tjänligt,  > 2,  16,5,0,0,283
Borgholm,Borgholm, Kallbadhuset,2014-07-15,  Tjänligt,,  18,5,0,0,284
Borgholm,Borgholm, Kallbadhuset,2014-08-12,  Tjänligt,  > 2,  20,5,0,0,285
Borgholm,Borgholm, Mejeriviken,2014-06-17,  Tjänligt,  2,  16,0,0,286
Borgholm,Borgholm, Mejeriviken,2014-07-15,  Tjänligt m. Anm.,,  19,0,0,287
Borgholm,Borgholm, Mejeriviken,2014-08-12,  Tjänligt,  > 2,  20,5,0,0,288
Botkyrka,Brosjön, Brotorpsbadet,2014-06-17,  Tjänligt,,  18,1,0,0,289
Botkyrka,Brosjön, Brotorpsbadet,2014-07-08,  Tjänligt m. Anm.,,  22,0,0,290
Botkyrka,Brosjön, Brotorpsbadet,2014-07-22,  Tjänligt m. Anm.,  1,6,  23,5,0,0,291
Botkyrka,Brosjön, Brotorpsbadet,2014-08-05,  Tjänligt,,  24,3,0,0,292
Borås,Bua badplats, Stora Hålsjön,2014-06-13,  Tjänligt,,  17,9,0,0,293
Borås,Bua badplats, Stora Hålsjön,2014-06-23,  Tjänligt,,  17,8,0,0,294
Borås,Bua badplats, Stora Hålsjön,2014-07-07,  Tjänligt,,  20,3,0,0,295
Borås,Bua badplats, Stora Hålsjön,2014-07-21,  Tjänligt,,  22,0,0,296
